video_id,frame_no,distance_to_RF,distance_to_LF,distance_to_RT,distance_to_LT,distance_to_CH,person_ball_H_rt,RightF,LeftF,RightT,LeftT,Chest,Other
3,1,820,820,820,820,820,0.0,0,0,0,0,0,1
3,2,820,820,820,820,820,0.0,0,0,0,0,0,1
3,3,820,820,820,820,820,0.0,0,0,0,0,0,1
3,4,820,820,820,820,820,0.0,0,0,0,0,0,1
3,5,820,820,820,820,820,0.0,0,0,0,0,0,1
3,6,820,820,820,820,820,0.0,0,0,0,0,0,1
3,7,820,820,820,820,820,0.0,0,0,0,0,0,1
3,8,820,820,820,820,820,0.0,0,0,0,0,0,1
3,9,820,820,820,820,820,0.0,0,0,0,0,0,1
3,10,820,820,820,820,820,0.0,0,0,0,0,0,1
3,11,820,820,820,820,820,0.0,0,0,0,0,0,1
3,12,820,820,820,820,820,0.0,0,0,0,0,0,1
3,13,820,820,820,820,820,0.0,0,0,0,0,0,1
3,14,820,820,820,820,820,0.0,0,0,0,0,0,1
3,15,820,820,820,820,820,0.0,0,0,0,0,0,1
3,16,820,820,820,820,820,0.0,0,0,0,0,0,1
3,17,820,820,820,820,820,0.0,0,0,0,0,0,1
3,18,820,820,820,820,820,0.0,0,0,0,0,0,1
3,19,820,820,820,820,820,0.0,0,0,0,0,0,1
3,20,820,820,820,820,820,0.0,0,0,0,0,0,1
3,21,820,820,820,820,820,0.0,0,0,0,0,0,1
3,22,820,820,820,820,820,0.0,0,0,0,0,0,1
3,23,820,820,820,820,820,0.0,0,0,0,0,0,1
3,24,820,820,820,820,820,0.0,0,0,0,0,0,1
3,25,820,820,820,820,820,0.0,0,0,0,0,0,1
3,26,820,820,820,820,820,0.0,0,0,0,0,0,1
3,27,820,820,820,820,820,0.0,0,0,0,0,0,1
3,28,820,820,820,820,820,0.0,0,0,0,0,0,1
3,29,820,820,820,820,820,0.0,0,0,0,0,0,1
3,30,820,820,820,820,820,0.0,0,0,0,0,0,1
3,31,820,820,820,820,820,0.0,0,0,0,0,0,1
3,32,820,820,820,820,820,0.0,0,0,0,0,0,1
3,33,820,820,820,820,820,0.0,0,0,0,0,0,1
3,34,77,179,119,167,253,2.240958487445004,0,0,0,0,0,1
3,35,70,173,138,180,275,2.4779465298662493,0,0,0,0,0,1
3,36,71,171,158,195,296,2.8344080708398125,0,0,0,0,0,1
3,37,74,170,173,207,313,3.250432572489604,0,0,0,0,0,1
3,38,68,163,160,195,299,3.3088977730235376,0,0,0,0,0,1
3,39,62,155,140,180,278,3.6398405031123464,0,0,0,0,0,1
3,40,63,147,122,165,257,3.7776967554157155,0,0,0,0,0,1
3,41,70,147,107,153,239,4.0767102858375335,0,0,0,0,0,1
3,42,79,144,95,143,224,4.2827325558316,0,0,0,0,0,1
3,43,86,142,87,136,213,4.444432742738292,0,0,0,0,0,1
3,44,92,139,81,130,205,4.593426768284487,0,0,0,0,0,1
3,45,97,140,78,126,198,4.812702722198716,0,0,0,0,0,1
3,46,100,141,75,122,193,5.0339361221108705,0,0,0,0,0,1
3,47,102,145,72,119,190,5.246813331792376,0,0,0,0,0,1
3,48,103,149,69,117,187,5.410740525801068,0,0,0,0,0,1
3,49,101,149,67,116,185,5.55845409047391,0,0,0,0,0,1
3,50,96,148,66,115,184,5.721316397596054,0,0,0,0,0,1
3,51,93,147,64,112,182,5.885215771689495,0,0,0,0,0,1
3,52,87,146,65,111,183,6.036520738188314,0,0,0,0,0,1
3,53,77,143,67,111,183,6.1751293456415866,0,0,0,0,0,1
3,54,66,146,69,109,184,6.202976610840564,0,0,0,0,0,1
3,55,61,140,74,110,185,6.3902409484374,0,0,0,0,0,1
3,56,52,142,78,111,189,6.584653149926856,0,0,0,0,0,1
3,57,42,141,84,113,190,6.744324647654674,0,0,0,0,0,1
3,58,38,138,88,115,193,7.022999927062544,0,0,0,0,0,1
3,59,33,135,93,117,197,7.058139202333703,0,0,0,0,0,1
3,60,27,132,97,119,203,7.327037713135719,1,0,0,0,0,0
3,61,21,128,105,122,210,7.478079702976605,1,0,0,0,0,0
3,62,820,820,820,820,820,0.0,1,0,0,0,0,0
3,63,18,115,109,124,219,8.003194365456556,1,0,0,0,0,0
3,64,18,120,106,123,218,7.358634834795225,1,0,0,0,0,0
3,65,31,117,96,118,211,7.472441124893761,1,0,0,0,0,0
